Date,Price,Open,High,Low,Vol.,Change %
7/5/2019,29270.95,29300.09,29318.09,29235.28,298.40M,0.00
7/4/2019,29300.09,29375.25,29466.94,29300.09,180.40M,0.00
7/3/2019,29375.25,29395.14,29458.03,29300.70,237.71M,0.00
7/2/2019,29395.14,29614.61,29616.93,29395.14,200.68M,-0.01
7/1/2019,29614.61,29966.87,29966.88,29593.82,107.43M,-0.01
6/28/2019,29966.87,29749.35,29978.81,29650.45,248.36M,0.01
6/27/2019,29749.35,29609.00,29756.79,29224.23,301.06M,0.00
6/26/2019,29609.00,29668.68,29697.43,29588.54,394.02M,0.00
6/25/2019,29668.68,29809.20,29814.38,29655.53,253.37M,0.00
6/24/2019,29809.20,29851.29,29890.01,29694.91,573.53M,0.00
6/21/2019,29851.29,29803.69,29890.61,29747.39,189.94M,0.00
6/20/2019,29765.31,29774.81,29897.18,29695.62,275.47M,0.00
6/19/2019,29772.72,29818.80,29891.86,29772.72,263.43M,0.00
6/18/2019,29818.80,29936.33,29936.33,29797.11,2.06B,0.00
6/17/2019,29936.33,30046.70,30087.86,29933.25,2.06B,0.00
6/14/2019,30046.70,30029.23,30086.61,29994.53,145.28M,0.00
6/13/2019,30029.15,30099.83,30150.05,30022.92,242.56M,0.00
6/11/2019,30099.83,30322.19,30322.19,30055.56,233.43M,-0.01
6/10/2019,30322.19,30432.13,30459.43,30306.76,247.28M,0.00
6/7/2019,30432.13,30529.90,30982.78,30380.98,280.00M,0.00
6/6/2019,30527.07,30928.29,30948.16,30136.14,217.19M,-0.01
6/3/2019,30928.29,31069.37,31100.03,30867.74,-,0.00
5/31/2019,31069.37,31254.19,31257.75,30992.94,-,-0.01
5/30/2019,31254.19,31307.00,31420.68,31078.83,-,0.00
5/28/2019,31307.00,30194.71,31307.00,30149.07,-,0.04
5/27/2019,30194.71,30881.29,30885.33,30188.62,-,-0.02
5/24/2019,30881.29,31754.79,31809.29,30825.17,-,-0.02
5/23/2019,31477.51,31145.15,31917.13,30902.23,-,0.01
5/22/2019,31145.15,30218.14,31194.69,30218.14,-,0.03
5/21/2019,30218.14,29373.40,30270.34,29361.88,-,0.03
5/20/2019,29373.40,28871.93,29438.95,28871.93,-,0.02
5/17/2019,28871.93,28438.19,28918.54,28438.19,-,0.02
5/16/2019,28438.19,28286.08,28452.00,28019.97,-,0.01
5/15/2019,28286.08,28422.76,28433.39,28282.30,-,0.00
5/14/2019,28422.76,28484.44,28535.31,28398.98,-,0.00
5/13/2019,28484.44,28847.98,28876.87,28542.51,-,-0.01
5/10/2019,28847.81,28896.25,28896.25,28718.68,-,0.00
5/9/2019,28896.25,28966.41,29015.77,28881.83,-,0.00
5/8/2019,28966.41,29096.41,29115.30,28946.91,-,0.00
5/7/2019,29096.41,29196.87,29208.63,29091.60,-,0.00
5/6/2019,29196.87,29212.00,29212.00,29120.86,-,0.00
5/3/2019,29212.00,29171.73,29222.73,29143.73,-,0.00
5/2/2019,29171.73,29159.74,29195.70,29104.10,-,0.00
4/30/2019,29159.74,29521.06,29654.53,29154.78,-,-0.01
4/29/2019,29521.06,29740.41,29813.37,29476.29,-,-0.01
4/26/2019,29740.41,29919.19,30041.37,29740.41,-,-0.01
4/25/2019,29919.77,29898.31,29986.11,29862.84,-,0.00
4/24/2019,29898.31,30080.73,30113.65,29854.02,-,-0.01
4/23/2019,30076.00,30086.31,30131.93,30006.33,-,0.00
4/18/2019,30086.31,29999.25,30132.98,29980.89,-,0.00
4/17/2019,29970.86,29793.56,30033.22,29728.55,-,0.01
4/16/2019,29746.24,29495.91,29746.24,29495.91,-,0.01
4/15/2019,29495.91,29560.47,29630.86,29484.93,-,0.00
4/12/2019,29560.47,29347.62,29566.55,29312.86,-,0.01
4/11/2019,29347.62,29180.88,29347.62,29172.35,-,0.01
4/10/2019,29193.42,29158.57,29213.93,29124.02,-,0.00
4/9/2019,29149.46,29159.92,29160.11,28989.49,-,0.00
4/8/2019,29162.24,29616.38,29620.93,28780.02,-,-0.02
4/5/2019,29616.38,29553.12,29628.40,29536.48,-,0.00
4/4/2019,29553.12,29626.14,29662.09,29548.65,-,0.00
4/3/2019,29668.73,30226.77,30243.71,29665.78,-,-0.02
4/2/2019,30226.77,30527.88,30712.37,30212.62,-,-0.01
4/1/2019,30527.50,31041.42,31041.42,30527.50,-,-0.02
3/29/2019,31041.42,30833.50,31106.74,30786.33,-,0.01
3/28/2019,30833.50,30829.45,30896.86,30770.60,-,0.00
3/27/2019,30829.45,31038.86,31066.07,30811.14,-,-0.01
3/26/2019,31038.86,31042.32,31094.87,31007.76,-,0.00
3/25/2019,31042.32,31139.35,31139.35,30996.82,-,0.00
3/22/2019,31139.35,30885.31,31156.19,30885.31,-,0.01
3/21/2019,30885.31,31066.10,31077.89,30856.23,-,-0.01
3/20/2019,31040.84,31082.32,31104.90,31015.27,-,0.00
3/19/2019,31082.32,31125.39,31133.59,30965.22,-,0.00
3/18/2019,31125.39,31142.72,31156.47,31103.67,-,0.00
3/15/2019,31142.72,31175.88,31265.21,31102.10,-,0.00
3/14/2019,31210.79,31369.91,31390.78,31210.79,-,0.00
3/13/2019,31360.28,31313.36,31360.28,31057.66,-,0.00
3/12/2019,31313.36,31636.66,31645.24,31267.99,-,-0.01
3/11/2019,31636.66,31718.23,31792.81,31636.66,-,-0.01
3/8/2019,31924.51,32010.06,32043.49,31876.24,-,0.00
3/7/2019,32010.06,32121.74,32159.87,32041.74,-,0.00
3/6/2019,32121.74,32173.66,32173.66,32062.03,-,0.00
3/5/2019,32173.66,32129.94,32252.89,32126.42,-,0.00
3/4/2019,32129.94,31827.24,32129.94,31827.24,-,0.01
3/1/2019,31827.24,31718.70,31935.28,31708.89,-,0.00
2/28/2019,31718.70,32247.54,32953.54,31718.70,-,-0.02
2/27/2019,32244.24,32473.82,32524.10,32185.06,-,-0.01
2/26/2019,32473.82,32700.12,32745.92,32441.42,-,-0.01
2/25/2019,32700.12,32516.05,32713.13,32516.05,-,0.01
2/22/2019,32515.52,32568.66,32617.13,32473.74,-,0.00
2/21/2019,32568.66,32646.16,32734.37,32568.66,-,0.00
2/20/2019,32614.06,32410.13,32617.94,32392.46,-,0.01
2/19/2019,32406.18,32190.07,32416.04,32157.29,-,0.01
2/18/2019,32190.07,32715.20,32738.95,31824.22,-,-0.02
2/15/2019,32715.20,32457.63,32958.96,32457.63,-,0.01
2/14/2019,32453.69,32413.92,32496.18,32367.49,-,0.00
2/13/2019,32413.92,32463.38,32635.13,32267.37,-,0.00
2/12/2019,32462.31,31783.00,32462.69,31783.00,-,0.02
2/11/2019,31781.87,31529.92,31891.23,31515.44,-,0.01
2/8/2019,31529.92,31457.17,31845.63,31457.17,-,0.00
2/7/2019,31433.49,30817.22,31433.49,30817.22,-,0.02
2/6/2019,30821.80,30773.57,30825.20,30728.01,-,0.00
2/5/2019,30773.57,30745.05,30773.57,30521.42,-,0.00
2/4/2019,30745.05,30636.36,30754.09,30636.36,-,0.00
2/1/2019,30636.36,30557.20,30740.63,30557.20,-,0.00
1/31/2019,30557.20,31142.58,31142.58,30557.20,-,-0.02
1/30/2019,31145.34,31178.71,31202.30,31143.37,-,0.00
1/29/2019,31178.71,31334.61,31334.61,31178.71,-,-0.01
1/28/2019,31344.24,31422.75,31457.07,31241.99,-,0.00
1/25/2019,31426.63,30989.60,31428.64,30981.90,-,0.01
1/24/2019,30989.60,30886.32,30989.60,30866.96,-,0.00
1/23/2019,30878.56,30736.88,30880.67,30736.88,-,0.00
1/22/2019,30736.88,30732.72,30811.19,30485.34,-,0.00
1/21/2019,30732.72,31005.17,31041.06,30720.76,-,-0.01
1/18/2019,31005.17,30566.38,31005.17,30526.18,-,0.01
1/17/2019,30583.21,30460.68,30597.02,30297.38,-,0.00
1/16/2019,30460.68,30138.06,30541.04,30001.87,-,0.02
1/15/2019,29964.79,29964.79,30172.40,29964.79,-,0.00
1/14/2019,29964.79,29830.70,29985.66,29689.73,-,0.00
1/11/2019,29830.70,29522.31,30438.21,29518.35,-,0.01
1/10/2019,29517.73,29336.80,29612.33,29329.62,-,0.01
1/9/2019,29336.80,30036.15,30084.28,29336.80,-,-0.02
1/8/2019,30036.15,30397.63,30488.52,29999.95,-,-0.01
1/7/2019,30400.28,30638.90,30709.65,30260.03,-,-0.01
1/4/2019,30638.90,30770.70,30770.70,30577.18,-,0.00
1/3/2019,30771.32,31070.06,31078.43,30749.66,-,-0.01
1/2/2019,31070.06,31429.34,31434.04,31065.25,-,-0.01
